,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER
MLM799731100,used,Distrito Federal,Gustavo A. Madero,289900.0,MXN,Usado,,5,,Delantera,Sí,3.5 L,Toyota,5,3.5,Gasolina,75707 km,Sienna,Automática,3.5 Le V6 At,2015,No,,,,,,,,,,,,,,,
MLM800892384,used,Distrito Federal,Tlalpan,176800.0,MXN,Usado,,,,Delantera,,1598 cc,SEAT,4,,Gasolina,34000 km,Toledo,Automática,1.6 Reference Tiptronic At,2017,,,,,,,,,,,,,,,,
MLM777904786,new,Distrito Federal,Xochimilco,54888.0,MXN,Nuevo,,,,,,250 cc,Keeway,,,Gasolina,0 km,Otros,,,2020,,,Chopper,,,,,,,,,,,,,
MLM799644630,used,Querétaro,Querétaro,230000.0,MXN,Usado,,,,Delantera,,,Toyota,5,,Gasolina,32885 km,Yaris,Manual,1.5 5p S Mt,2019,,,,,,,,,,,,,,,,
MLM791544971,used,Estado De México,Huixquilucan,179000.0,MXN,Usado,,,,Delantera,,1598 cc,Chevrolet,4,,Gasolina,11000 km,Aveo,Manual,1.6 Lt Bolsas De Aire Y Abs Nuevo Mt,2019,,,,,,,,,,,,,,,,
MLM782137646,used,Puebla,Puebla,310000.0,MXN,Usado,4370 mm,5,240 hp,4x4,Sí,1999 cc,Land Rover,5,2.0,Gasolina,105000 km,Evoque,Automática,2.0 Pure At,2013,Sí,,,,,,,,,,,,,,,
MLM802495951,used,Michoacán,Morelia,105000.0,MXN,Usado,,,,,,,Ford,5,,Gasolina,120371 km,Ecosport,Manual,Ecosport,2007,,,,,,,,,,,,,,,,
MLM777906253,new,Distrito Federal,Xochimilco,89991.0,MXN,Nuevo,,,,,,251 cc,Benelli,,,,0 km,TRK 251,,,2020,,,Doble propósito,,,,,,,,,,,,,
MLM810548741,used,Hidalgo,Pachuca De Soto,250000.0,MXN,Usado,,,,,,,Peugeot,5,2.2,Diésel,250000 km,Manager,Manual,Manager,2010,,,,,,,,,,,,,,,,
MLM797637710,not_specified,Jalisco,San Miguel El Alto,50000.0,MXN,,,,,,,,Troy-Bilt,,,,,Troy Bilt 46,,,2020,,,,,,,,,,,,,,,,
MLM789083606,used,Nuevo León,Monterrey,198000.0,MXN,Usado,4590 mm,,,Delantera,Sí,1.8 L,Mercedes-Benz,4,1.8,Gasolina,68000 km,Clase C,Automática,1.8 250 Cgi Coupe At,2012,,,,,,,,,,,,,,,,
MLM795379685,used,Puebla,Puebla,159000.0,MXN,Usado,,,,4x2,,3.5 L,Dodge,5,,Gasolina,89000 km,Journey,Automática,3.5 Sxt 7 Pasj Premium R-19 At,2010,,,,,,,,,,,,,,,,
MLM796469332,used,Nuevo León,San Pedro Garza García,239000.0,MXN,Usado,,,,Delantera,,1996 cc,Honda,4,,Gasolina,109000 km,Civic,Manual,2.0 Ex Mt,2016,,,,,,,,,,,,,,,,
MLM793076948,used,Nuevo León,Monterrey,86500.0,MXN,Usado,,,,,,750 cc,Honda,,,,10794 km,Shadow Spirit,,,2009,,,Chopper,,,,,,,,,,,,,
MLM807297811,used,Distrito Federal,Azcapotzalco,289000.0,MXN,Usado,,,,Trasera,,1998 cc,BMW,4,,Gasolina,36000 km,Serie 3,Automática,2.0 320ia At,2017,,,,,,,,,,,,,,,,
MLM809362030,used,Querétaro,Querétaro,196000.0,MXN,Usado,,,,Delantera,Sí,,Chevrolet,4,,Gasolina,40090 km,Cruze,Manual,1.4 Ls Mt,2017,,,,,,,,,,,,,,,,
MLM782137655,used,Puebla,Puebla,153000.0,MXN,Usado,,,,Delantera,,1.8 L,Hyundai,4,,Gasolina,92000 km,Elantra,Manual,1.8 Gls Mt,2016,,,,,,,,,,,,,,,,
MLM795403097,new,Jalisco,Zapopan,52800.0,MXN,Nuevo,,,,,,200 cc,Sunl,,,Gasolina,0 km,Otros Modelos,,,2020,,,Motocarros,,,,,,,,,,,,,
MLM804303868,used,Distrito Federal,Coyoacán,389000.0,MXN,Usado,,5,,4x4,Sí,3.5 L,Nissan,5,3.5,Gasolina,50000 km,Pathfinder,Automática,Le Piel Luxury 4x4 At,2010,,,,,,,,,,,,,,,,
MLM807912603,used,Puebla,Puebla,110000.0,MXN,Usado,,,,Delantera,,1.6 L,Volkswagen,4,,Gasolina,319000 km,Vento,Manual,1.6 Starline Mt,2015,,,,,,,,,,,,,,,,
MLM764960100,new,Aguascalientes,Aguascalientes,9200.0,MXN,Nuevo,,,,,,50 cc,Sunl,,,Gasolina,0 km,mini cuatrimoto,,,2020,,,Mini Motos,,,,,,,,,,,,,
MLM797598090,used,Distrito Federal,Azcapotzalco,597000.0,MXN,Usado,,,,4x4,,1984 cc,Audi,2,,Gasolina,4000 km,TT,Automática,2.0 S Coupe Fsi 285 Hp Dsg,2016,,,,,,,,,,,,,,,,
MLM800066584,used,Michoacán,Morelia,660000.0,MXN,Usado,,,,Trasera,,3465 cc,Ford,4,,Gasolina,83055 km,Lobo,Automática,3.5 Doble Cabina Plinum Limited At,2016,,,,,,,,,,,,,,,,
MLM795055743,used,Distrito Federal,Benito Juárez,510000.0,MXN,Usado,,,,4x4,,3488 cc,Nissan,5,,Gasolina,4962 km,Pathfinder,Automática,3.5 Exclusive 4x4 Cvt,2019,,,,,,,,,,,,,,,,
MLM811439999,used,Distrito Federal,Coyoacán,108000.0,MXN,Usado,4620 mm,5,,Delantera,Sí,2 L,Renault,4,2.0,Gasolina,72000 km,Fluence,Manual,2.0 Expression Mt,2013,,,,,,,,,,,,,,,,
MLM809476322,used,Distrito Federal,Coyoacán,238000.0,MXN,Usado,5292 mm,,140 hp,Trasera,,2 L,Volkswagen,3,2.0,Diésel,105000 km,Transporter,Manual,2.0 9pas Mt,2015,,,,,,,,,,,,,,,,
MLM803872980,used,Puebla,Puebla,750000.0,MXN,Usado,5392 mm,,278 hp,4x4,Sí,3456 cc,Toyota,4,3.5,Gasolina,19000 km,Tacoma,Automática,3.5 Edición Especial 4x4 At,2017,,,,,,,,,,,,,,,,
MLM788037096,used,Puebla,Puebla,349000.0,MXN,Usado,,,,Delantera,,1595 cc,Mercedes-Benz,5,,Gasolina,48000 km,Clase GLA,Automática,1.6 200 Cgi Sport At,2016,,,,,,,,,,,,,,,,
MLM808566177,used,Distrito Federal,Tlalpan,219800.0,MXN,Usado,4701 mm,5,200 hp,Delantera,,2 L,Volkswagen,5,2.0,Gasolina,69000 km,Tiguan,Automática,2.0 Sport&style Paq Nave At,2014,,,,,,,,,,,,,,,,
MLM790405043,not_specified,Nuevo León,Monterrey,150000.0,MXN,,,,,,,,EKON,,,,,Food Truck,,,2017,,,,,,,,,,,,,,,,
MLM807297902,used,Distrito Federal,Gustavo A. Madero,618900.0,MXN,Usado,5023 mm,2,470 hp,Trasera,Sí,6417 cc,Dodge,2,6.5,Gasolina,21500 km,Challenger,Automática,6.5l Sc Pack At,2016,No,,,,,,,,,,,,,,,
MLM792907195,used,Puebla,Puebla,190000.0,MXN,Usado,,,,Delantera,,1999 cc,Kia,4,,Gasolina,82000 km,Forte,Manual,2.0 L Mt,2018,,,,,,,,,,,,,,,,
MLM806650919,used,Distrito Federal,Tlalpan,213800.0,MXN,Usado,,,,Delantera,,1.6 L,Volkswagen,4,,Gasolina,6000 km,Vento,Automática,1.6 Starline At,2020,,,,,,,,,,,,,,,,
MLM752696697,used,Distrito Federal,Gustavo A. Madero,427900.0,MXN,Usado,4511 mm,2,174 hp,Delantera,Sí,1496 cc,Honda,2,1.5,Gasolina,1900 km,Civic,Automática,1.5 Coupe Turbo Cvt,2019,No,,,,,,,,,,,,,,,
MLM796473899,used,Nuevo León,San Pedro Garza García,349000.0,MXN,Usado,,,,4x4,,4 L,Toyota,4,,Gasolina,105000 km,Tacoma,Automática,4.0 Trd Sport 4x4 At,2014,,,,,,,,,,,,,,,,
MLM799732458,used,Estado De México,Tlalnepantla de Baz,164900.0,MXN,Usado,3971 mm,5,105 hp,Delantera,Sí,1598 cc,Volkswagen,5,1.6,Gasolina,65000 km,Polo,Automática,1.6 Startline Tiptronic At,2017,No,,,,,,,,,,,,,,,
MLM804197977,used,Nuevo León,General Escobedo,38000.0,MXN,Usado,,,,4x2,No,,dodge ram,4,5.7 HEMI,Gasolina,130000 km,Doble Cabina,Automática,p/up,2010,No,,,,,,,,,,,,,,,
MLM809526110,used,Querétaro,Querétaro,185000.0,MXN,Usado,,5,,4x2,Sí,4 L,Jeep,5,4.0,Gasolina,152000 km,Grand Cherokee,Automática,Laredo V6 Lujo 4x2 At,2011,No,,,,,,,,,,,,,,,
MLM784237415,new,Morelos,Cuautla,77500.0,MXN,Nuevo,,,,,,200 cc,Kawasaki,,4 tiempos,,0 km,Otros Modelos,,,2020,Sí,KAWASAKI TVS DURALIFE,Motocarros,,,,,,,,,,,,,
MLM799743491,used,Distrito Federal,Gustavo A. Madero,217900.0,MXN,Usado,,5,,4x4,Sí,3 L,Mitsubishi,5,3.0,Gasolina,92390 km,Montero,Automática,3.0 Sport V6/ At,2014,No,,,,,,,,,,,,,,,
MLM804312589,used,Distrito Federal,Benito Juárez,89900.0,MXN,Usado,,,,Delantera,,1206 cc,Chevrolet,5,,Gasolina,54000 km,Spark,Manual,1.3 Ls Classic Mt,2016,,,,,,,,,,,,,,,,
MLM813390880,used,Distrito Federal,Benito Juárez,1350000.0,MXN,Usado,,5,324 hp,4x4,Sí,5.3 L,Chevrolet,5,5.3,Gasolina,48000 km,Suburban,Automática,5.3 Ltz V8 4wd 2da Cubo At,2015,,,,,,,,,,,,,,,,
MLM812862477,used,Distrito Federal,Benito Juárez,1295000.0,MXN,Usado,5179 mm,5,,4x4,Sí,6.2 L,Cadillac,5,6.2,Gasolina,39000 km,Escalade,Automática,6.2 Plinum 4x4 At,2015,,,,,,,,,,,,,,,,
MLM812344662,used,Distrito Federal,Benito Juárez,2150000.0,MXN,Usado,5890 mm,4,450 hp,4x4,Sí,3496 cc,Ford,4,3.5,Gasolina,19000 km,F-150,Automática,3.5 Raptor Doble Cabina 4x4 At,2017,,,,,,,,,,,,,,,,
MLM812297968,used,Distrito Federal,Benito Juárez,495000.0,MXN,Usado,,5,,4x4,Sí,3.5 L,Toyota,5,3.5,Gasolina,67000 km,Highlander,Automática,Base Premium Sport Aa Qc Piel At,2012,,,,,,,,,,,,,,,,
MLM809398076,used,Distrito Federal,Benito Juárez,495000.0,MXN,Usado,4759 mm,5,,4x4,Sí,5.7 L,Jeep,5,5.7,Gasolina,72000 km,Grand Cherokee,Manual,5.7 Limited Premium V8 Navegación 4x4 Mt,2011,,,,,,,,,,,,,,,,
MLM808177222,used,Distrito Federal,Benito Juárez,495000.0,MXN,Usado,,,,4x4,,4 L,Ford,5,,Gasolina,64000 km,Explorer,Manual,4.0 Limited V6 Sync 4x4 Mt,2012,,,,,,,,,,,,,,,,
MLM805019445,used,Distrito Federal,Benito Juárez,955000.0,MXN,Usado,,,,4x4,,6.2 L,GMC,5,,Gasolina,44000 km,Yukon,Manual,6.2 Denali 8 Vel Awd Mt,2015,,,,,,,,,,,,,,,,
MLM805006149,used,Distrito Federal,Benito Juárez,215000.0,MXN,Usado,,,,Integral,,,BMW,4,,Gasolina,75000 km,Serie 5,Automática,540iA Security,2001,,,,,,,,,,,,,,,,
MLM801609621,used,Distrito Federal,Benito Juárez,795000.0,MXN,Usado,,,,Trasera,,2.2 L,Lincoln,5,,Gasolina,58000 km,MKC,Manual,2.2 Reserve Mt,2015,,,,,,,,,,,,,,,,
MLM793645622,used,Distrito Federal,Benito Juárez,595000.0,MXN,Usado,,,,4x4,,5.7 L,Jeep,5,,Gasolina,61000 km,Grand Cherokee,Manual,5.7 Limited Premium V8 Navegación 4x4 Mt,2011,,,,,,,,,,,,,,,,
MLM788975768,used,Distrito Federal,Benito Juárez,1350000.0,MXN,Usado,,,,4x4,,5552 cc,Nissan,5,,Gasolina,38000 km,Armada,Automática,5.6l At,2017,,,,,,,,,,,,,,,,
MLM787111645,used,Distrito Federal,Benito Juárez,565000.0,MXN,Usado,,,,Trasera,,3.7 L,Lincoln,4,,Gasolina,54000 km,MKZ,Manual,3.7 Reserve Mt,2013,,,,,,,,,,,,,,,,
MLM786155555,used,Distrito Federal,Benito Juárez,855000.0,MXN,Usado,,,,4x4,,6 L,Chevrolet,5,,Gasolina,40000 km,Suburban,Manual,6.0lt Tres Cuartos 4x4 Mt,2013,,,,,,,,,,,,,,,,
MLM786148251,used,Distrito Federal,Benito Juárez,755000.0,MXN,Usado,,,,4x4,,5.3 L,Chevrolet,5,,Gasolina,42000 km,Suburban,Automática,G Piel Aa Dvd Qc 4x4 At,2012,,,,,,,,,,,,,,,,
MLM812089538,used,Estado De México,Huixquilucan,289000.0,MXN,Usado,4241 mm,5,145 hp,Delantera,Sí,2000 cc,Ford,5,2.0,Gasolina,2000 km,Ecosport,Automática,2.0 Titanium At,2018,No,,,,,,,,,,,,,,,
MLM780148803,new,Distrito Federal,Miguel Hidalgo,38999.0,MXN,Nuevo,,,,,,250 cc,Vento,,4 tiempos,Gasolina,0 km,NITROX 250,,,2019,Sí,VENTO,Deportivas,,,,,,,,,,,,,
MLM799739572,used,Distrito Federal,Gustavo A. Madero,273900.0,MXN,Usado,3973 mm,3,192 hp,Delantera,Sí,1798 cc,Audi,3,1.8,Gasolina,58000 km,A1,Automática,1.8 S- Line S-tronic Dsg,2016,No,,,,,,,,,,,,,,,
MLM757881131,new,Morelos,Cuernavaca,105500.0,MXN,Nuevo,,,,,,313 cc,BMW,,,Gasolina,0 km,G 310 Gs,,,2019,,,Doble propósito,,,,,,,,,,,,,
MLM786977155,not_specified,Nuevo León,Monterrey,14950.0,MXN,,,,,,,,DON TORO,,,,,Vito,,,2014,,,,,,,,,,,,,,,,
MLM765469932,used,Jalisco,Guadalajara,249900.0,MXN,Usado,,,,4x2,,,Jeep,4,,Gasolina,65391 km,Renegade,Automática,1.8 Sport 4x2 At,2018,,,,,,,,,,,,,,,,
MLM794074499,used,Estado De México,Huixquilucan,349000.0,MXN,Usado,4822 mm,5,,4x2,Sí,5.7 L,Jeep,5,5.7,Gasolina,58000 km,Grand Cherokee,Manual,5.7 Limited Lujo 4x2 Mt,2014,,,,,,,,,,,,,,,,
MLM784736117,used,Michoacán,Morelia,299000.0,MXN,Usado,5230 mm,,145 hp,Delantera,Sí,2488 cc,Nissan,3,2.5,Gasolina,85611 km,Urvan,Manual,2.5 15 Pas Amplia Aa Mt,2016,,,,,,,,,,,,,,,,
MLM793080291,used,Nuevo León,Monterrey,133760.0,MXN,Usado,,,,,,1300 cc,Honda,,4 tiempos,Gasolina,24872 km,VT 1300 CX Fury,,,2010,Sí,Honda,Chopper,,,,,,,,,,,,,
MLM780169064,new,Distrito Federal,Miguel Hidalgo,37999.0,MXN,Nuevo,,,,,,250 cc,Vento,,4 tiempos,Gasolina,0 km,CROSSMAX PRO 250,,,2020,Sí,VENTO,Chopper,,,,,,,,,,,,,
MLM807376271,used,Distrito Federal,Tlalpan,224800.0,MXN,Usado,,5,,Delantera,Sí,3.5 L,Toyota,5,3.5,Gasolina,57000 km,Sienna,Automática,Le Aa Ee At,2013,Sí,,,,,,,,,,,,,,,
MLM791540515,used,Estado De México,Huixquilucan,295000.0,MXN,Usado,,,,4x4,,3 L,Audi,5,,Gasolina,127000 km,Q7,Automática,3.0 Elite Quattro Tiptronic At,2011,,,,,,,,,,,,,,,,
MLM812095245,used,Estado De México,Huixquilucan,557000.0,MXN,Usado,4855 mm,5,295 hp,Delantera,Sí,3456 cc,Toyota,5,3.5,Gasolina,14000 km,Highlander,Automática,3.5 Xle At,2019,No,,,,,,,,,,,,,,,
MLM791544655,used,Estado De México,Huixquilucan,759000.0,MXN,Usado,,,,Trasera,,3.4 L,Porsche,2,,Gasolina,12600 km,Cayman,Automática,3.4 S At,2011,,,,,,,,,,,,,,,,
MLM782141281,used,Puebla,Puebla,280000.0,MXN,Usado,,,,Delantera,,1998 cc,Mazda,5,,Gasolina,94000 km,CX-5,Automática,2.0 L I Grand Touring At,2016,,,,,,,,,,,,,,,,
MLM809945114,used,Querétaro,Querétaro,330000.0,MXN,Usado,,,,Trasera,,,Toyota,4,,Gasolina,141244 km,Hiace,Manual,2.7 Bus 15 Pas Mt,2016,,,,,,,,,,,,,,,,
MLM782141407,used,Puebla,Puebla,235000.0,MXN,Usado,3821 mm,,,Delantera,Sí,1.5 L,Mini,3,1.5,Gasolina,75000 km,Cooper,Manual,1.5 Pepper Mt,2015,No,,,,,,,,,,,,,,,
MLM784242298,new,Distrito Federal,Gustavo A. Madero,39000.0,MXN,Nuevo,,,,,,200 cc,DAZON,,4 tiempos,,0 km,Otros Modelos,,,2020,No,DAZON,Motocarros,,,,,,,,,,,,,
MLM809368691,used,Puebla,Puebla,135000.0,MXN,Usado,4471 mm,4,,Delantera,Sí,1.6 L,Fiat,2,1.6,Gasolina,67000 km,Strada,Manual,1.6 Adventure Cabina Doble Mt,2013,No,,,,,,,,,,,,,,,
MLM782141258,used,Puebla,Puebla,355000.0,MXN,Usado,,,,Delantera,,3497 cc,Ford,5,,Gasolina,157000 km,Explorer,Automática,3.5 Xlt Piel At,2016,,,,,,,,,,,,,,,,
MLM792715351,new,Distrito Federal,Coyoacán,54500.0,MXN,Nuevo,,,,,,200 cc,Yamaha,,,Gasolina,0 km,Avanzada,,,2021,No,MOTO AVANZADA,Cuatrimotos,,,,,,,,,,,,,
MLM815498772,used,Querétaro,Querétaro,145000.0,MXN,Usado,,,,Delantera,Sí,,Chevrolet,4,,Gasolina,29187 km,Aveo,Manual,1.6 Ls Mt,2019,Sí,,,,,,,,,,,,,,,
MLM815109710,used,Querétaro,Querétaro,179000.0,MXN,Usado,,,,Delantera,,,Chevrolet,4,,Gasolina,15016 km,Aveo,Manual,1.6 Lt Mt,2020,,,,,,,,,,,,,,,,
MLM814842985,used,Querétaro,Querétaro,138000.0,MXN,Usado,,,,Delantera,,,Nissan,4,,Gasolina,63458 km,Versa,Automática,1.6 Sense At,2017,,,,,,,,,,,,,,,,
MLM814840835,used,Querétaro,Querétaro,135000.0,MXN,Usado,,,,Delantera,,,Chevrolet,4,,Gasolina,25157 km,Beat,Manual,1.3 Lt Mt,2018,,,,,,,,,,,,,,,,
MLM814836652,used,Querétaro,Querétaro,158000.0,MXN,Usado,,,,Delantera,,,Chevrolet,4,,Gasolina,21613 km,Aveo,Automática,1.6 Ls At,2018,,,,,,,,,,,,,,,,
MLM814438157,used,Querétaro,Querétaro,168000.0,MXN,Usado,,,,Delantera,,,Nissan,5,,Gasolina,37871 km,March,Automática,1.6 Advance At,2018,,,,,,,,,,,,,,,,
MLM814438083,used,Querétaro,Querétaro,225000.0,MXN,Usado,,,,Trasera,,,Mitsubishi,4,,Gasolina,59912 km,L200,Manual,2.4 Cabina Doble 4x2 Mt,2016,,,,,,,,,,,,,,,,
MLM814438058,used,Querétaro,Querétaro,295000.0,MXN,Usado,,,,Delantera,,,Kia,4,,Gasolina,7293 km,Forte,Automática,"4 pts. EX PREMIUM, 2.0 L MPI Atkinson TA6, A/AC., BA, BL, f. niebla, RA-17 (linea nueva)",2019,,,,,,,,,,,,,,,,
MLM814422058,used,Querétaro,Querétaro,165000.0,MXN,Usado,,,,Delantera,,,Volkswagen,5,,Gasolina,19237 km,Gol,Manual,1.6 Trendline I-motion 5 p,2018,,,,,,,,,,,,,,,,
MLM813784328,used,Querétaro,Querétaro,270000.0,MXN,Usado,,,,Delantera,,,Volkswagen,4,,Gasolina,11622 km,Jetta,Manual,2.5 Trendline Mt,2019,,,,,,,,,,,,,,,,
MLM813782901,used,Querétaro,Querétaro,190000.0,MXN,Usado,,,,Delantera,,,Nissan,4,,Gasolina,29940 km,Sentra,Manual,1.8 Advance Mt,2017,,,,,,,,,,,,,,,,
MLM812290210,used,Querétaro,Querétaro,157000.0,MXN,Usado,,,,Delantera,,,Chevrolet,4,,Gasolina,32842 km,Aveo,Manual,1.6 Lt Mt,2018,,,,,,,,,,,,,,,,
MLM811941504,used,Querétaro,Querétaro,305000.0,MXN,Usado,,,,Delantera,,,Volkswagen,4,,Gasolina,5542 km,Jetta,Manual,2.5 Trendline Mt,2020,,,,,,,,,,,,,,,,
MLM811935793,used,Querétaro,Querétaro,235000.0,MXN,Usado,,,,Delantera,,,Kia,4,,Gasolina,6607 km,Rio,Manual,1.6 Lx Sedan Mt,2020,,,,,,,,,,,,,,,,
MLM811939569,used,Querétaro,Querétaro,155000.0,MXN,Usado,,,,Delantera,,,Chevrolet,4,,Gasolina,12151 km,Beat,Manual,1.3 Nb Ltz Mt,2018,,,,,,,,,,,,,,,,
MLM811934593,used,Querétaro,Querétaro,355000.0,MXN,Usado,,,,Delantera,,,Volkswagen,5,,Gasolina,15337 km,Tiguan,Automática,1.4 Trendline Plus At,2019,,,,,,,,,,,,,,,,
MLM809004572,used,Querétaro,Querétaro,165000.0,MXN,Usado,,,,Delantera,,,Nissan,5,,Gasolina,35104 km,March,Manual,1.6 Advance Mt,2018,,,,,,,,,,,,,,,,
MLM809001788,used,Querétaro,Querétaro,155000.0,MXN,Usado,,,,Delantera,,,Nissan,5,,Gasolina,18354 km,March,Manual,1.6 Sense Mt,2018,,,,,,,,,,,,,,,,
MLM800068132,used,Querétaro,Querétaro,155000.0,MXN,Usado,,,,Delantera,,,Chevrolet,4,,Gasolina,23327 km,Beat,Manual,1.3 Nb Ltz Mt,2018,,,,,,,,,,,,,,,,
MLM799616609,used,Querétaro,Querétaro,265000.0,MXN,Usado,,,,Delantera,,,Kia,4,,Gasolina,23863 km,Soul,Automática,2.0 Ex At,2018,,,,,,,,,,,,,,,,
MLM785850953,used,Querétaro,Querétaro,154000.0,MXN,Usado,,,,Delantera,Sí,,Chevrolet,4,,Gasolina,31219 km,Beat,Manual,1.3 Nb Lt Mt,2019,,,,,,,,,,,,,,,,
MLM812081614,used,Estado De México,Huixquilucan,265000.0,MXN,Usado,4295 mm,5,118 hp,Delantera,Sí,1598 cc,Nissan,5,1.6,Gasolina,15000 km,Kicks,Automática,1.6 Advance Cvt,2019,No,,,,,,,,,,,,,,,
MLM797605974,used,Distrito Federal,Azcapotzalco,207000.0,MXN,Usado,,,,Trasera,,3 L,BMW,2,,Gasolina,72000 km,Serie 1,Automática,3.0 Coupe 135i At,2011,,,,,,,,,,,,,,,,
MLM789632525,used,Distrito Federal,Azcapotzalco,143000.0,MXN,Usado,,,,Delantera,,1399 cc,Chevrolet,5,,Gasolina,29000 km,Spark,Manual,1.4 Active Mt,2017,,,,,,,,,,,,,,,,
MLM797945048,used,Distrito Federal,Coyoacán,168500.0,MXN,Usado,4384 mm,5,105 hp,Delantera,,1.6 L,Volkswagen,4,1.6,Gasolina,49000 km,Vento,Automática,1.6 Highline At,2017,,,,,,,,,,,,,,,,
MLM797644209,used,Guanajuato,Celaya,160000.0,MXN,Usado,,,,Delantera,,1598 cc,Nissan,5,,Gasolina,13800 km,March,Automática,1.6 Advance At,2018,,,,,,,,,,,,,,,,
MLM793076957,used,Nuevo León,Monterrey,69000.0,MXN,Usado,,,,,,1100 cc,Honda,,,Gasolina,72277 km,VT 1100C2,,,1996,,,Chopper,,,,,,,,,,,,,
MLM796559263,used,Distrito Federal,Coyoacán,219900.0,MXN,Usado,,,,Delantera,,2.5 L,Nissan,5,,Gasolina,62000 km,Urvan,Manual,2.5 15 Pas Amplia Pack Seguridad Mt,2014,,,,,,,,,,,,,,,,
MLM794944824,used,Nuevo León,Monterrey,89000.0,MXN,Usado,,,,,,1500 cc,Honda,,,Gasolina,11917 km,GL 1500,,,1988,,,Goldwing 1500,,,,,,,,,,,,,
MLM809435903,used,Querétaro,Querétaro,185000.0,MXN,Usado,,,,Delantera,,,Nissan,5,,Gasolina,14508 km,March,Manual,1.6 Sense Mt,2020,,,,,,,,,,,,,,,,
MLM797236782,used,Querétaro,Querétaro,145000.0,MXN,Usado,,,,Delantera,,,Chevrolet,4,,Gasolina,23798 km,Beat,Automática,1.3 Lt Mt,2019,,,,,,,,,,,,,,,,
MLM792486558,used,Querétaro,Querétaro,1250000.0,MXN,Usado,,,,Delantera,,,Maserati,4,,Gasolina,26639 km,Ghibli,Automática,Ghibli V6/3.0 Aut,2015,,,,,,,,,,,,,,,,
MLM777904776,new,Distrito Federal,Xochimilco,40761.0,MXN,Nuevo,,,,,,150 cc,Benelli,,,Gasolina,0 km,TNT 150,,,2020,,,Naked,,,,,,,,,,,,,
MLM800062138,used,Michoacán,Morelia,839000.0,MXN,Usado,4822 mm,5,360 hp,4x4,Sí,5654 cc,Jeep,5,5.7,Gasolina,10000 km,Grand Cherokee,Automática,5.7 Limited Lujo Advance 4x4 At,2019,,,,,,,,,,,,,,,,
MLM795642296,used,Michoacán,Morelia,249000.0,MXN,Usado,,,,Delantera,,1395 cc,SEAT,5,,Gasolina,75152 km,Leon,Manual,1.4 Fr T 150 Hp Mt,2016,,,,,,,,,,,,,,,,
MLM787143743,used,Puebla,Puebla,390000.0,MXN,Usado,4630 mm,5,211 hp,Delantera,Sí,1991 cc,Mercedes-Benz,4,2.0,Gasolina,96000 km,Clase CLA,Automática,2.0 250 Cgi Sport At,2016,,,,,,,,,,,,,,,,
MLM777904797,new,Distrito Federal,Xochimilco,39990.0,MXN,Nuevo,,,,,,250 cc,Vento,,,Gasolina,0 km,Rocketman SPORT,,,2020,,,Cafe Racer,,,,,,,,,,,,,
MLM753379675,used,Distrito Federal,Gustavo A. Madero,629900.0,MXN,Usado,5690 mm,5,355 hp,Trasera,Sí,5328 cc,Chevrolet,5,5.4,Gasolina,40765 km,Suburban,Automática,5.4 Ls Tela At,2018,No,,,,,,,,,,,,,,,
MLM807290146,used,Distrito Federal,Azcapotzalco,173000.0,MXN,Usado,,,,Delantera,,2488 cc,Nissan,4,,Gasolina,64000 km,Altima,Automática,2.5 Advance Cvt,2016,,,,,,,,,,,,,,,,
MLM780171731,new,Distrito Federal,Miguel Hidalgo,33999.0,MXN,Nuevo,,,,,,250 cc,Vento,,4 tiempos,Gasolina,0 km,ROCKETMAN 250,,,2020,Sí,VENTO,Chopper,,,,,,,,,,,,,
MLM791523536,used,Estado De México,Huixquilucan,479000.0,MXN,Usado,4551 mm,5,285 hp,4x4,Sí,2253 cc,Lincoln,5,2.3,Gasolina,19000 km,MKC,Automática,2.3 Reserve At,2018,Sí,,,,,,,,,,,,,,,
MLM797601828,used,Distrito Federal,Azcapotzalco,387000.0,MXN,Usado,,,,4x4,,2488 cc,Mazda,5,,Gasolina,56000 km,CX-9,Automática,2.5 I Grand Touring Awd At,2017,,,,,,,,,,,,,,,,
MLM790568485,used,Nuevo León,Guadalupe,125000.0,MXN,Usado,,,,,,,Nissan,4,,Gasolina,135000 km,Urvan,,Larga,2009,,,,,,,,,,,,,,,,
MLM814846372,used,Querétaro,Querétaro,180000.0,MXN,Usado,,,,Delantera,,,Dodge,4,,Gasolina,83259 km,Ram 1500,Automática,2p ST V6/3.6 Aut,2014,,,,,,,,,,,,,,,,
MLM812107568,used,Estado De México,Huixquilucan,149000.0,MXN,Usado,4490 mm,5,100 hp,Delantera,Sí,1372 cc,Suzuki,4,1.4,Gasolina,39000 km,Ciaz,Manual,1.4 Gls Mt,2017,No,,,,,,,,,,,,,,,
